AuthorId,OrganizationName,Type
57218202833,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",University
7004904337,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",University
7005513246,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",University
6508306234,"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal",Company
9277159100," Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal",University
6507358470," Department of Chemical Engineering, Brigham Young University, Provo, UT, United States",University
57204031131,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
6602649851,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
56830076500,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
57204029674,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
57204032253,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
57217149830,"School of Communications, Brigham Young University, United States",University
57217149403,"School of Communications, Brigham Young University, United States",University
57217145377,"School of Communications, Brigham Young University, United States",University
57217146534,"School of Communications, Brigham Young University, United States",University
57217147399,"School of Communications, Brigham Young University, United States",University
57217147006,"School of Communications, Brigham Young University, United States",University
57210571665,"School of Communications, Brigham Young University, United States",University
55611356500,"School of Communications, Brigham Young University, United States",University
57218886193,"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",University
57210260262,"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",University
6701777223,"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",University
8448666000,"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",University
36149254500,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
57191155872,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
56681156600,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
35088650000,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
7201741468,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
7402786794,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
57191822951,"Brigham Young University, Provo, UT  84602, United States",University
57188654880,"Brigham Young University, Provo, UT  84602, United States",University
57192247939,"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States",University
57218593962,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57218593446,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57218591162,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57201772566,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
16422844400,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
7102975249,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57193338296,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China",University
57194692502,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China",University
57202017958,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China",University
57205128747,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China",University
55829396600,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China",University
57201634652,"Brigham Young University, Provo, UT, United States",University
57218685929,"Brigham Young University, Provo, UT, United States",University
18535712500,"Brigham Young University, Provo, UT, United States",University
56248593800,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, United States",University
10640480600," Air Force Research Laboratory, Control Center of Excellence, Wpafb, Dayton, OH, United States",Company
24923036100," Infoscitex Corporation, Dayton, OH, United States",Company
7201675107," Miami Valley Aerospace Llc, Afrl, Wright-Patterson Afb, Dayton, OH, United States",Company
56330168500,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
9942259800,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
57201257192,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
56260937200,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
57081918700,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
55487415500,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
7202083837,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57210290270,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57210288045,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57210287166,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57211254337,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57210292389,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57218761022,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
35147940600,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
57201912667,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",University
7202282831,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",University
57218107757,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",University
