VolumeId,JournalId
4be8f2fc-e408-42cf-9fc0-de35a098200e,5becae67-68a6-4a6b-84b2-e16249444f5d
2f96b6f6-3b4f-43cc-bb4c-6219e1a7ddfb,a0401236-cc94-4e0b-8229-a4fb1c2491d5
9f41ae7a-3fb4-4955-9494-00f4fe9ed3f0,6f9714de-77de-48b9-8832-ba81e210fa75
980c68ed-52b1-47ce-98ec-91ec0435dfb7,858a91de-e218-429e-8953-12e84e07efd7
e5b9a465-9972-41c7-b1a7-1f4b83a9daaf,5a07ae2f-412f-47be-a4ae-3b208dd2ea9c
1a532e46-2b58-406a-827c-a5409fecfe24,4a71891d-490b-442a-ab75-ef65c441365e
48b854c0-54b4-4ce8-92d3-a88c640a03a4,f3b9356a-babd-45e0-b462-0ae5cb488b59
11af1f8f-5758-40f3-9ac0-270071e1da61,d03d75d2-741a-4134-ac61-6f223bcbec55
e3b70faa-4ce3-46fc-a77f-09ea83161c10,2eebcd45-5665-4749-803d-16ccecad9daf
65d17c15-054f-403d-936a-22bb7eaecbe4,7c3ea020-0ad1-4964-a313-196693bb6ec2
3bd04d27-86e8-4fd8-b73e-f47c14c2c727,8f9fccd6-2621-46a4-84fd-26755ea2a2fb
a2ae4c87-0ba2-4d4e-b8a3-4598e546714e,beddae8b-ae58-4d26-a18c-df6a4fe0eb82
c0323141-145f-4f2d-9d70-4e89feb6a372,3c24b2b4-9636-4a7a-ad0f-5c51cb40f0c3
39a64dd4-2ff8-45f7-ab5f-8caeb34751e3,714dca1d-bfa4-4acd-a769-e89e714d556d
6e8800f6-93cb-421b-a67d-8fe4d660ee46,49337afa-e045-4d70-8e59-898ba4f5bc7b
8f831f18-d422-458f-9dfa-38fdc3aa1b1a,2b189cf4-893b-4f1d-bc1e-f426eb3bfa20
6fe0680a-ac2a-4e15-a74b-8bf56dce3f69,f5853e14-285a-49ac-bdca-e5b81e41e60b
4aadaeb8-2b9b-44d1-bc96-57217a2062f5,2f5965f0-51bb-4842-8b2d-0cafc7c52f6c
6e86bb31-21ed-4ce8-a024-c4089b9c07d4,23589691-e527-4d19-9934-f08a1d079b4c
24300932-3152-4c68-b47c-284db2a5b7d0,ac21ccf2-3346-484c-87c6-e3cc580e7194
9741027b-2da8-4497-833f-20e9ab272430,58556d64-5e1e-423a-9891-3a81caecfd13
00cfc7ca-1fc1-486f-95b2-2ebb54792def,7c3ea020-0ad1-4964-a313-196693bb6ec2
c9e70b7b-bb3d-4308-b2e4-7a30b55f686a,166c0b4e-bf25-4289-83b7-5d49d0f8c8bb
097122d1-8939-498d-b81f-ca1536ae9536,7bb6e550-049e-4d9a-9c51-b3a0628d70d2
4ceb7895-5d21-4cbf-af1e-1f9dcc7c3f48,58556d64-5e1e-423a-9891-3a81caecfd13
