Name,Year,ConferenceId,EditionId
COOSK0REQ,2020,bbdf1af1-f2b5-4220-a976-9ad7eefce379,710e53ec-4762-4a50-a6ee-a36291c22d9f
COO528QGJ,2020,bbdf1af1-f2b5-4220-a976-9ad7eefce379,bf721716-35aa-4b72-866b-024f1e992a28
ICD2R712I,2020,133cb0de-df28-41ed-9021-05829b1bde94,09dcb15e-156e-460a-b659-49a8da83e90e
Spr3AJ2OQ,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,2aa4a735-f34f-46fa-a730-165d6a75aa13
Spr8HLHFS,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,0342a195-e7a7-4ccf-b67a-3c89ec99d1a3
SprDR1HD7,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,397dbe6d-dcb8-4fe5-82ed-6c999db71345
SprXMAXO0,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,8ca12b2f-2950-4753-bbc5-7cfaf9f7f878
SprCR8ZIL,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,3450a5c5-0281-4bd2-87c5-75a85601c3e7
SprGFKBMM,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,f4dd82cb-1118-451b-9454-c3ed2b9530fa
SprQPKJY5,2022,ec0cd84e-e3d5-4cb1-88c0-98d21b711368,0e29047f-77cc-4ba0-a8f0-9084eccc09ec
WEARVEIIB,2017,a6cabfee-12dd-4e45-972a-4d9d1562bd3a,01dbdd6b-4725-4af5-95ee-0bd2539e5682
WEARZUBV0,2017,a6cabfee-12dd-4e45-972a-4d9d1562bd3a,c5fdd652-1114-41e4-b181-4014b6860819
WEATXZ51N,2017,a6cabfee-12dd-4e45-972a-4d9d1562bd3a,8d7ff5cd-0f98-443f-9cae-379bc8c39a31
WEA2R47C0,2017,a6cabfee-12dd-4e45-972a-4d9d1562bd3a,84b09879-9db1-4411-a46f-9c5ddac8a0ac
WEAJLIHK5,2017,a6cabfee-12dd-4e45-972a-4d9d1562bd3a,c990d2d4-2d8b-482c-90cb-6ee4c92b9bbd
Num9ETGE1,2018,3129eceb-4dd7-4a19-81ff-f0060aba96ef,ecab8b89-7259-48ba-b237-443780a4bc59
NumWDOJZS,2018,3129eceb-4dd7-4a19-81ff-f0060aba96ef,50b59f61-0325-47e9-b611-2a777850079a
Num7EHFL1,2018,3129eceb-4dd7-4a19-81ff-f0060aba96ef,73b90f14-04f3-443e-8d32-86b7d5ba0904
NumK8OYQ0,2018,3129eceb-4dd7-4a19-81ff-f0060aba96ef,da71a125-eb99-4e53-9948-51eee945c824
