EditionId,ConferenceId
710e53ec-4762-4a50-a6ee-a36291c22d9f,bbdf1af1-f2b5-4220-a976-9ad7eefce379
bf721716-35aa-4b72-866b-024f1e992a28,bbdf1af1-f2b5-4220-a976-9ad7eefce379
09dcb15e-156e-460a-b659-49a8da83e90e,133cb0de-df28-41ed-9021-05829b1bde94
2aa4a735-f34f-46fa-a730-165d6a75aa13,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
0342a195-e7a7-4ccf-b67a-3c89ec99d1a3,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
397dbe6d-dcb8-4fe5-82ed-6c999db71345,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
8ca12b2f-2950-4753-bbc5-7cfaf9f7f878,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
3450a5c5-0281-4bd2-87c5-75a85601c3e7,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
f4dd82cb-1118-451b-9454-c3ed2b9530fa,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
0e29047f-77cc-4ba0-a8f0-9084eccc09ec,ec0cd84e-e3d5-4cb1-88c0-98d21b711368
01dbdd6b-4725-4af5-95ee-0bd2539e5682,a6cabfee-12dd-4e45-972a-4d9d1562bd3a
c5fdd652-1114-41e4-b181-4014b6860819,a6cabfee-12dd-4e45-972a-4d9d1562bd3a
8d7ff5cd-0f98-443f-9cae-379bc8c39a31,a6cabfee-12dd-4e45-972a-4d9d1562bd3a
84b09879-9db1-4411-a46f-9c5ddac8a0ac,a6cabfee-12dd-4e45-972a-4d9d1562bd3a
c990d2d4-2d8b-482c-90cb-6ee4c92b9bbd,a6cabfee-12dd-4e45-972a-4d9d1562bd3a
ecab8b89-7259-48ba-b237-443780a4bc59,3129eceb-4dd7-4a19-81ff-f0060aba96ef
50b59f61-0325-47e9-b611-2a777850079a,3129eceb-4dd7-4a19-81ff-f0060aba96ef
73b90f14-04f3-443e-8d32-86b7d5ba0904,3129eceb-4dd7-4a19-81ff-f0060aba96ef
da71a125-eb99-4e53-9948-51eee945c824,3129eceb-4dd7-4a19-81ff-f0060aba96ef
ba9d13bd-8b47-4a89-a82c-b979c3bcc547,3129eceb-4dd7-4a19-81ff-f0060aba96ef
1e20fcab-7a3e-4223-abf7-914263701d38,3129eceb-4dd7-4a19-81ff-f0060aba96ef
21d19b9e-6209-4e50-9a61-1811c97c57b5,3129eceb-4dd7-4a19-81ff-f0060aba96ef
06f0fa68-8600-4c7a-94e3-8ebdf92d81ba,c5079680-b248-44d1-8809-677bde497eed
34df64c3-a7ce-45a7-b4e8-fc8d46ab646a,c5079680-b248-44d1-8809-677bde497eed
f5c5a4b0-0d5e-4490-9cb3-fffb97555535,c5079680-b248-44d1-8809-677bde497eed
5fbb744d-f794-4168-804a-7d582e4acc9b,c5079680-b248-44d1-8809-677bde497eed
ed3d44ef-d8c8-4a8b-b7cf-8dd7f31ee32c,c5079680-b248-44d1-8809-677bde497eed
69c1f2eb-226e-4a03-8e9a-084440cd8e31,c5079680-b248-44d1-8809-677bde497eed
b05b10af-6c5a-4f5c-b217-1a508a4fd076,c5079680-b248-44d1-8809-677bde497eed
9bbd4794-f7df-4c0e-90c8-c4dcea6df7d5,a3095fcf-526e-404b-8ec7-4a1ab09a13b2
5657220d-7ec2-444a-84d2-307c963cc7f9,a3095fcf-526e-404b-8ec7-4a1ab09a13b2
81a692b1-e332-470a-9447-a13d64770b25,a3095fcf-526e-404b-8ec7-4a1ab09a13b2
d5a6502d-7905-4591-9624-2b50e432366e,25ed0290-2c64-428b-90b0-782f4d9554ce
cd96fe94-beda-4459-88ce-bcc06c547e14,25ed0290-2c64-428b-90b0-782f4d9554ce
d24c70ef-4bcb-4977-bfad-00e8008c44da,25ed0290-2c64-428b-90b0-782f4d9554ce
bfe7600d-191f-4c78-a082-fa3ea80ddd16,25ed0290-2c64-428b-90b0-782f4d9554ce
21381685-5292-4423-80a7-b161a00cdaea,379fe419-2aa6-46c2-a5d7-f72454ce01ad
d09559f4-b3dd-4593-8873-a3d5b30913ad,379fe419-2aa6-46c2-a5d7-f72454ce01ad
43ab7469-1a22-4903-b031-3586774f6823,379fe419-2aa6-46c2-a5d7-f72454ce01ad
3addad36-4ab3-40d8-8d01-adde33ed9752,379fe419-2aa6-46c2-a5d7-f72454ce01ad
cf054a8f-0083-4358-b313-9801a85967d9,379fe419-2aa6-46c2-a5d7-f72454ce01ad
d259c82b-1a00-449c-b733-614c73ff7a73,379fe419-2aa6-46c2-a5d7-f72454ce01ad
e4a34a4d-3095-4a47-9e83-8f4abad5b2ae,379fe419-2aa6-46c2-a5d7-f72454ce01ad
5298a2a4-32bd-42b5-91b8-ecd1d0b3eb26,27c91b26-659d-4571-8ee2-8d064190614f
91fa1274-b8d4-46bd-aaa8-b24f72df9dfd,27c91b26-659d-4571-8ee2-8d064190614f
1de459e2-cb92-4869-b332-ce4f9f4a424f,de74e8c4-1557-47bf-a7c8-0b265c33930d
c7a628ea-9580-4b6f-ab72-9670aeef67d6,de74e8c4-1557-47bf-a7c8-0b265c33930d
