EditionId,PaperId
42a552b3-44c6-472f-8710-4fe87813abcb,9e27a083-e5cc-4796-a969-013f68aaf697
f2c0924a-553b-46e7-be9e-6ad0f68425f8,e99a7958-03a7-4e66-8f5f-ad3c67217b89
664c365a-fd88-49aa-95b3-d332548f7a07,170e7425-527e-45c5-8aec-167bd9aaf6b0
93c48d4a-9403-4f41-aec1-516545561746,48f71958-e144-4cb9-a45b-5199b10c74f8
917f2008-c807-45eb-8d9f-e0ebf5192c4b,78ea7488-8440-4523-a452-e6d6cca0fb04
f2b5b6b4-9a2c-488a-a174-72872a53aec0,b3882133-d997-4d94-872b-6a2cd47b7f63
55e22a29-5e69-4f53-8027-9772a51352c6,843a8ed4-08b6-4b08-92bd-2ad705356c7e
d52560a1-6f4d-4380-b1bd-6a0ee8ee5ce7,1bc7d922-82cc-48ac-be3a-25412197c549
3945873d-025b-4776-82b3-f72dd4348518,1bf1081a-3a72-4f05-81d4-14b98368e055
5ad7b373-3e2e-4dc4-bb3c-36f0ad55bcf3,06235530-c207-40c9-852d-ddea92c79080
0b4c9104-68a5-41a4-ae88-d650e7899593,de38ed1f-f991-4c92-81d4-d3496eea624e
b66f2ddd-7bec-41cc-9928-e289ec2092e7,a1ab059d-a6d8-4ccd-a71b-182c854864df
894ff91d-bcce-48f5-9772-ff3dbfa38c85,0480977f-0b48-41e3-9f5d-1b7eba97b0c6
fc575533-eee4-49e1-9533-e51334c9c0e0,eb797b92-e20f-46d0-b5b5-290554700ea5
23e0e868-8e56-4a9e-b152-c40c0e609a65,7db47b71-674e-4a17-8918-8cfa289c69f3
f03b9813-ce7c-4e7d-8628-f4b688821dd8,4153e2c7-7285-4635-adb4-7d43c897e51c
62d6bf32-4a84-440d-87bf-3c1c1b4488e8,06a9243a-1231-4f92-a654-e1886afdbdb7
d94a4544-4d04-49ea-adf2-f260aaa2d2f2,2fbd832c-cd42-4bca-b93d-a2f78c34a811
b6a28886-a5d8-4bc0-b4f9-369342d40c0c,758503c9-b236-4f15-90ee-594b8ec3be9f
b66f2ddd-7bec-41cc-9928-e289ec2092e7,09000edb-d40e-4476-9add-761c6637d4bc
dbf2a957-d0cf-45f3-bf38-cdd905b8e799,6907f1cc-4375-42a3-a13a-b9f468c9bcdb
611d89c2-4a9b-4a3f-94a8-cb8a6ab549a8,bdc7dbb1-4f18-4739-b522-5e7f9df0a914
f68d09ff-49a2-4d17-959e-d2cfeca5ea7b,7c7e57e8-220d-44ac-8b16-609dfc40094f
e4a34a4d-3095-4a47-9e83-8f4abad5b2ae,d004f65e-b132-408d-a389-c06f18ed82d6
4e1c1975-f0a5-4968-91aa-db3a9fdcd013,8c64d738-1f43-49e3-b2c1-dc896c73a003
d17c98b1-c0e8-4684-9139-63b9b3b82042,bdae7c01-62bd-4da1-88ce-b6b4babf3e84
1e9be129-e8e3-42fb-a7b9-095f250f7670,c92b5ac9-7ce3-4a64-bb31-f95dff684b15
624a6693-6f00-479b-be79-d2a28a3e32b3,f58f955d-92a5-4cb1-8090-751c74598f26
9c03b753-11f1-4607-b61f-d65359f13824,5ab37d57-404c-42f6-bdeb-3edf1f472c60
28af85a9-25ee-4a07-a07f-8a58eed7be58,f624a2ef-a1f5-48ef-96b3-3197da2242fd
